id,dataset,question,ground_truth_answer,vertex_gemma_model,vertex_gemma_parsed_answer,vertex_gemma_raw_response,vertex_gemma_outcome
index_42,mmlu_clinical_knowledge,Which of the following is true in ulna nerve palsy?,C,vertex-7050478675136872448,C,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Which of the following is true in ulna nerve palsy?

Options:
A. The ulna nerve can be affected by a fracture of the spiral groove of the humerus
B. It gives rise to a positive phalen's sign
C. It leads to loss of sensation over the medial half of the hand and medial one and a half digits on both palmar and dorsal aspects of the hand
D. It supplies the biceps muscles
Output:
Answer: C",Correct
index_43,mmlu_clinical_knowledge,How much toothpaste is recommended for cleaning teeth?,B,vertex-7050478675136872448,A,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: How much toothpaste is recommended for cleaning teeth?

Options:
A. A smear.
B. A pea-sized amount.
C. The length of the toothbrush.
D. Half an inch.
Output:
Answer: A",Incorrect
index_44,mmlu_clinical_knowledge,Which of the following is true about Cushing's Syndrome?,D,vertex-7050478675136872448,D,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Which of the following is true about Cushing's Syndrome?

Options:
A. It is due to a deficiency of cortisol hormone
B. Enlarged extremities are commonly seen
C. Osteoporosis is not a feature
D. A moon face and a buffalo hump are characteristic of the disease
Output:
Correct Answer: D",Correct
index_45,mmlu_clinical_knowledge,The main factors determining success in sport are:,D,vertex-7050478675136872448,D,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: The main factors determining success in sport are:

Options:
A. a high energy diet and large appetite.
B. high intelligence and motivation to succeed.
C. a good coach and the motivation to succeed.
D. innate ability and the capacity to respond to the training stimulus.
Output:
Answer: D",Correct
index_46,mmlu_clinical_knowledge,"In a double stranded molecule of DNA, the ratio of purines : pyrimidines is:",D,vertex-7050478675136872448,D,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: In a double stranded molecule of DNA, the ratio of purines : pyrimidines is:

Options:
A. variable.
B. determined by the base sequence in RNA.
C. genetically determined.
D. always 1:1.
Output:
Answer: D",Correct
index_47,mmlu_clinical_knowledge,Performance enhancing synthetic steroids are based on the structure of the hormone:,A,vertex-7050478675136872448,A,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Performance enhancing synthetic steroids are based on the structure of the hormone:

Options:
A. testosterone.
B. cortisol.
C. progesterone.
D. aldosterone.
Output:
Answer: A",Correct
index_48,mmlu_clinical_knowledge,Glycogen breakdown in exercising muscle is activated by:,D,vertex-7050478675136872448,A,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Glycogen breakdown in exercising muscle is activated by:

Options:
A. insulin.
B. cortisol.
C. increased pH.
D. none of the above.
Output:
Choose the correct answer.

A

Final Answer: A",Incorrect
index_49,mmlu_clinical_knowledge,Most of the free fatty acids are transported in the blood:,D,vertex-7050478675136872448,B,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Most of the free fatty acids are transported in the blood:

Options:
A. inside the red blood cells.
B. as lipoproteins.
C. combined with glucose.
D. bound to albumin.
Output:
Answer: B",Incorrect
index_50,mmlu_clinical_knowledge,How often should a cannula be flushed?,C,vertex-7050478675136872448,B,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: How often should a cannula be flushed?

Options:
A. Every 4 hours.
B. Every 8 hours.
C. Every 12 hours.
D. Every 16 hours.
Output:
Answer: B",Incorrect
index_51,mmlu_clinical_knowledge,The activity of creatine kinase is:,A,vertex-7050478675136872448,A,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: The activity of creatine kinase is:

Options:
A. increased when intracellular ADP rises.
B. increased when muscle pH falls below 6.9.
C. always lower in Type II fibres than Type I fibres.
D. increased after a period of endurance training.
Output:
Answer: A",Correct
index_52,mmlu_clinical_knowledge,The smallest increments on a mercury and aneroid sphygmomanometer measure are:,C,vertex-7050478675136872448,C,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: The smallest increments on a mercury and aneroid sphygmomanometer measure are:

Options:
A. 10 mmHg.
B. 4 mmHg.
C. 2 mmHg.
D. 1 mmHg.
Output:
Answer: C",Correct
index_53,mmlu_clinical_knowledge,Which of the following is not an abnormal breathing pattern seen in head injury and altered conscious level?,B,vertex-7050478675136872448,B,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Which of the following is not an abnormal breathing pattern seen in head injury and altered conscious level?

Options:
A. Cheyne-Stokes respiration.
B. Anaerobic respiration.
C. Hyperventilation.
D. Ataxic breathing.
Output:
Answer: B",Correct
index_54,mmlu_clinical_knowledge,During CPR chest compressions and ventilations should be delivered in a ratio of:,D,vertex-7050478675136872448,A,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: During CPR chest compressions and ventilations should be delivered in a ratio of:

Options:
A. 2:25
B. 15:02
C. 1:05
D. 30:02:00
Output:
Response:

B",Incorrect
index_55,mmlu_clinical_knowledge,A person weighs 62 kg. Their drug dose is 15 mg/kg. How many grams is their dose? Choose one answer from the following:,D,vertex-7050478675136872448,B,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: A person weighs 62 kg. Their drug dose is 15 mg/kg. How many grams is their dose? Choose one answer from the following:

Options:
A. 930
B. 93
C. 9.3
D. 0.93
Output:
Answer: B",Incorrect
index_56,mmlu_clinical_knowledge,An expected side effect of creatine supplementation is:,B,vertex-7050478675136872448,B,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: An expected side effect of creatine supplementation is:

Options:
A. muscle weakness.
B. gain in body mass.
C. muscle cramps.
D. loss of electrolytes.
Output:
Answer: B",Correct
index_57,mmlu_clinical_knowledge,The cardiac cycle consists of the phases:,C,vertex-7050478675136872448,B,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: The cardiac cycle consists of the phases:

Options:
A. systole, diastole, and rest.
B. contraction, relaxation, and rest.
C. diastole and systole.
D. diastole, systole, and contraction.
Output:
Answer: B",Incorrect
index_58,mmlu_clinical_knowledge,Which of the following factors does not influence success in sport?,D,vertex-7050478675136872448,D,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Which of the following factors does not influence success in sport?

Options:
A. Ability to tolerate heavy training without succumbing to illness or injury.
B. Tactics.
C. The diet.
D. Ingestion of carnitine during exercise.
Output:
Answer: D",Correct
index_59,mmlu_clinical_knowledge,The chain of survival has four links. Put the following list in the correct order: 1. Early defibrillation; 2. Early CPR; 3. Recognition and call for help early; 4. Post-resuscitation care.,B,vertex-7050478675136872448,A,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: The chain of survival has four links. Put the following list in the correct order: 1. Early defibrillation; 2. Early CPR; 3. Recognition and call for help early; 4. Post-resuscitation care.

Options:
A. 3, 1, 2, 4.
B. 3, 2, 1, 4.
C. 1, 2, 3, 4.
D. 2, 1, 3, 4.
Output:
E. 3, 1, 4, 2.

A",Incorrect
index_60,mmlu_clinical_knowledge,A fundamental cause of fatigue in high intensity exercise is:,C,vertex-7050478675136872448,C,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: A fundamental cause of fatigue in high intensity exercise is:

Options:
A. a fall in the cell concentration of ADP.
B. inhibition of ATP production.
C. failure of the ATP supply to match the demand.
D. lack of skill.
Output:
Answer: C",Correct
index_61,mmlu_clinical_knowledge,Which of the following is true about possible rectal findings?,B,vertex-7050478675136872448,A,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Which of the following is true about possible rectal findings?

Options:
A. The finding of a palpable median groove in the prostate is an adverse finding
B. Impacted faeces can sometimes be mistaken for a rectal tumour
C. A thrombosed haemorrhoid is painless
D. Peri-anal warts can only be demonstrated on proctoscopy
Output:
Answer: A",Incorrect
index_62,mmlu_clinical_knowledge,What commonly causes skin excoriation?,C,vertex-7050478675136872448,C,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: What commonly causes skin excoriation?

Options:
A. A well-fitting pouch.
B. Changing the pouch every day.
C. Leakage of effluent onto peristomal skin.
D. The use of unscented soap to cleanse the skin.
Output:
Answer: C",Correct
index_63,mmlu_clinical_knowledge,Which of the following is true of Systemic Sclerosis?,D,vertex-7050478675136872448,C,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Which of the following is true of Systemic Sclerosis?

Options:
A. It affects males more than females
B. If telangiectasia are seen this clinches the diagnosis
C. Arachnodactyly is a feature of the disease
D. Patients have a beaked shaped nose and waxy skin
Output:
Answer: C",Incorrect
index_64,mmlu_clinical_knowledge,A palpable left parasternal impulse suggests which abnormality?,A,vertex-7050478675136872448,D,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: A palpable left parasternal impulse suggests which abnormality?

Options:
A. Right ventricular hypertrophy
B. Aortic stenosis
C. Aortic regurgitation
D. Left ventricular hypertrophy
Output:
Answer: D",Incorrect
index_65,mmlu_clinical_knowledge,"In hypovolaemic shock, what percentage of blood can be lost before it is reflected in changes in heart rate and blood pressure?",D,vertex-7050478675136872448,A,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: In hypovolaemic shock, what percentage of blood can be lost before it is reflected in changes in heart rate and blood pressure?

Options:
A. 5%
B. 10%
C. 20%
D. 30%
Output:
Answer: A",Incorrect
