id,dataset,question,ground_truth_answer,gemini_model,gemini_parsed_answer,gemini_raw_response,gemini_outcome
index_51,mmlu_clinical_knowledge,The activity of creatine kinase is:,A,models/gemini-2.0-flash,A,A,Correct
index_52,mmlu_clinical_knowledge,The smallest increments on a mercury and aneroid sphygmomanometer measure are:,C,models/gemini-2.0-flash,C,C,Correct
index_53,mmlu_clinical_knowledge,Which of the following is not an abnormal breathing pattern seen in head injury and altered conscious level?,B,models/gemini-2.0-flash,B,B,Correct
index_54,mmlu_clinical_knowledge,During CPR chest compressions and ventilations should be delivered in a ratio of:,D,models/gemini-2.0-flash,D,D,Correct
index_55,mmlu_clinical_knowledge,A person weighs 62 kg. Their drug dose is 15 mg/kg. How many grams is their dose? Choose one answer from the following:,D,models/gemini-2.0-flash,D,D,Correct
index_56,mmlu_clinical_knowledge,An expected side effect of creatine supplementation is:,B,models/gemini-2.0-flash,B,B,Correct
index_57,mmlu_clinical_knowledge,The cardiac cycle consists of the phases:,C,models/gemini-2.0-flash,C,C,Correct
index_58,mmlu_clinical_knowledge,Which of the following factors does not influence success in sport?,D,models/gemini-2.0-flash,D,D,Correct
index_59,mmlu_clinical_knowledge,The chain of survival has four links. Put the following list in the correct order: 1. Early defibrillation; 2. Early CPR; 3. Recognition and call for help early; 4. Post-resuscitation care.,B,models/gemini-2.0-flash,B,B,Correct
index_60,mmlu_clinical_knowledge,A fundamental cause of fatigue in high intensity exercise is:,C,models/gemini-2.0-flash,C,C,Correct
index_61,mmlu_clinical_knowledge,Which of the following is true about possible rectal findings?,B,models/gemini-2.0-flash,B,B,Correct
index_62,mmlu_clinical_knowledge,What commonly causes skin excoriation?,C,models/gemini-2.0-flash,C,C,Correct
index_63,mmlu_clinical_knowledge,Which of the following is true of Systemic Sclerosis?,D,models/gemini-2.0-flash,D,D,Correct
index_64,mmlu_clinical_knowledge,A palpable left parasternal impulse suggests which abnormality?,A,models/gemini-2.0-flash,A,A,Correct
index_65,mmlu_clinical_knowledge,"In hypovolaemic shock, what percentage of blood can be lost before it is reflected in changes in heart rate and blood pressure?",D,models/gemini-2.0-flash,C,C,Incorrect
index_66,mmlu_clinical_knowledge,Which of the following best describes the effects of morphine?,B,models/gemini-2.0-flash,B,B,Correct
index_67,mmlu_clinical_knowledge,Which of the following is true of headache?,D,models/gemini-2.0-flash,D,D,Correct
index_68,mmlu_clinical_knowledge,Between contractions of the left ventricle the blood continues to flow through the vessels because:,D,models/gemini-2.0-flash,D,D,Correct
index_69,mmlu_clinical_knowledge,What might make the nurse think a patient could not use an inhaler?,D,models/gemini-2.0-flash,D,D,Correct
index_70,mmlu_clinical_knowledge,Removal of adhesive strips:,A,models/gemini-2.0-flash,A,A,Correct
index_71,mmlu_clinical_knowledge,"During CPR, chest compressions should be delivered at a rate of:",C,models/gemini-2.0-flash,C,C,Correct
index_72,mmlu_clinical_knowledge,Which of the following physiological characteristics is not important for success in endurance events such as the marathon race?,D,models/gemini-2.0-flash,D,D,Correct
index_73,mmlu_clinical_knowledge,"When using an inhaler, when should a patient be asked to rinse their mouth?",D,models/gemini-2.0-flash,D,D,Correct
index_74,mmlu_clinical_knowledge,Muscle lactate production increases when:,D,models/gemini-2.0-flash,D,D,Correct
index_75,mmlu_clinical_knowledge,What is the minimum time a stretch should be held for?,B,models/gemini-2.0-flash,B,B,Correct
index_76,mmlu_clinical_knowledge,What three factors regulate stroke volume?,B,models/gemini-2.0-flash,B,B,Correct
index_77,mmlu_clinical_knowledge,Name the bones of the middle finger in the correct order from the hand.,A,models/gemini-2.0-flash,A,A,Correct
index_78,mmlu_clinical_knowledge,Which of the following promotes glucose and amino acid uptake by muscle?,B,models/gemini-2.0-flash,B,B,Correct
index_79,mmlu_clinical_knowledge,An ileostomy opening should be:,B,models/gemini-2.0-flash,A,A,Incorrect
index_80,mmlu_clinical_knowledge,Which of the following would not be done before catheterizing?,D,models/gemini-2.0-flash,D,D,Correct
index_81,mmlu_clinical_knowledge,Hydrogen ions are formed when:,D,models/gemini-2.0-flash,C,C,Incorrect
index_82,mmlu_clinical_knowledge,Which one of the following manoeuvres is not a central painful stimulus?,B,models/gemini-2.0-flash,B,B,Correct
index_83,mmlu_clinical_knowledge,"Dopamine is prescribed at a rate of 4 micrograms/kg/min. For a 65 kg person, how many milligrams will they receive in an hour?",B,models/gemini-2.0-flash,A,A,Incorrect
index_84,mmlu_clinical_knowledge,Which of the following is true about the rectal examination?,D,models/gemini-2.0-flash,D,D,Correct
index_85,mmlu_clinical_knowledge,Why can't a patient talk if the cuff is inflated?,D,models/gemini-2.0-flash,D,D,Correct
index_86,mmlu_clinical_knowledge,Wound drainage should be assessed for volume and consistency:,A,models/gemini-2.0-flash,A,A,Correct
index_87,mmlu_clinical_knowledge,Creatine is synthesized from:,B,models/gemini-2.0-flash,B,B,Correct
index_88,mmlu_clinical_knowledge,"If a catheter resists all attempts to unblock it and you are unable to remove it, what should you do?",D,models/gemini-2.0-flash,D,D,Correct
index_89,mmlu_clinical_knowledge,Bladder washout solution should be:,D,models/gemini-2.0-flash,D,D,Correct
index_90,mmlu_clinical_knowledge,"When developing a plan of care relating to the management of a person's pain, attention should be given to the following needs:",C,models/gemini-2.0-flash,C,C,Correct
index_91,mmlu_clinical_knowledge,Patients with the apolipoprotein E gene are at risk of which disease?,C,models/gemini-2.0-flash,C,C,Correct
index_92,mmlu_clinical_knowledge,Which of the following groups of drugs may cause a dry mouth?,C,models/gemini-2.0-flash,C,C,Correct
index_93,mmlu_clinical_knowledge,Which of the following is not a true statement?,D,models/gemini-2.0-flash,D,D,Correct
index_94,mmlu_clinical_knowledge,"If a patient is cyanosed, what might their oxygen saturation level be?",C,models/gemini-2.0-flash,C,C,Correct
index_95,mmlu_clinical_knowledge,When assessing a patient's breathing:,C,models/gemini-2.0-flash,C,C,Correct
index_96,mmlu_clinical_knowledge,A person is prescribed Ropinirole 1.5 mg divided into three doses. How many micrograms is each dose? Choose one answer from the following:,D,models/gemini-2.0-flash,D,D,Correct
index_97,mmlu_clinical_knowledge,Which of the following is thought to be implicated in the development of peripheral muscle fatigue during multiple sprint activities?,A,models/gemini-2.0-flash,A,A,Correct
index_98,mmlu_clinical_knowledge,The ATP store in muscle can only supply energy in high intensity exercise for about:,B,models/gemini-2.0-flash,C,C,Incorrect
index_99,mmlu_clinical_knowledge,960 mg of the antibacterial drug Cotrimoxazole is prescribed every 12 hours. What is the daily dose in grams? Choose one answer from the following:,B,models/gemini-2.0-flash,B,B,Correct
