id,dataset,question,ground_truth_answer,gemini_model,gemini_parsed_answer,gemini_raw_response,gemini_outcome
index_139,mmlu_clinical_knowledge,What is the 'normal' range of flexion at the knee joint?,B,models/gemini-2.0-flash,B,B,Correct
index_140,mmlu_clinical_knowledge,Which of the following is not a controlled drug?,D,models/gemini-2.0-flash,D,D,Correct
index_141,mmlu_clinical_knowledge,After what period of time does maximal dynamic exercise become predominantly aerobic?,C,models/gemini-2.0-flash,D,D,Incorrect
index_142,mmlu_clinical_knowledge,The trigger to initiate the contractile process in skeletal muscle is:,D,models/gemini-2.0-flash,D,D,Correct
index_143,mmlu_clinical_knowledge,Which of the following is NOT a sign of phlebitis?,D,models/gemini-2.0-flash,D,D,Correct
index_144,mmlu_clinical_knowledge,The energy charge of the cell is:,D,models/gemini-2.0-flash,D,D,Correct
index_145,mmlu_clinical_knowledge,The sarcoplasmic reticulum in muscle cells acts as a:,D,models/gemini-2.0-flash,D,D,Correct
index_146,mmlu_clinical_knowledge,Which of the following parameters are seen on typical neurological observation charts?,B,models/gemini-2.0-flash,B,B,Correct
index_147,mmlu_clinical_knowledge,"In the discharge checklist recommended by the Department of Health (2004), who should be involved in completing the form?",B,models/gemini-2.0-flash,A,A,Incorrect
index_148,mmlu_clinical_knowledge,Which of the following is true regarding the complications of a large goitre?,B,models/gemini-2.0-flash,B,B,Correct
index_149,mmlu_clinical_knowledge,The heart has:,B,models/gemini-2.0-flash,B,B,Correct
index_150,mmlu_clinical_knowledge,Which one of the following groups of patients should be assessed using an Early Warning Score (EWS)?,D,models/gemini-2.0-flash,D,D,Correct
index_151,mmlu_clinical_knowledge,What is the purpose of the cuff on a tracheostomy tube?,A,models/gemini-2.0-flash,A,A,Correct
index_152,mmlu_clinical_knowledge,What type of covalent bonds link the amino acids in a protein?,A,models/gemini-2.0-flash,A,A,Correct
index_153,mmlu_clinical_knowledge,Which is the most reliable way to assess for clubbing?,D,models/gemini-2.0-flash,C,C,Incorrect
index_154,mmlu_clinical_knowledge,The term gene doping refers to:,B,models/gemini-2.0-flash,B,B,Correct
index_155,mmlu_clinical_knowledge,Name three of the five main uses of the hand.,B,models/gemini-2.0-flash,B,B,Correct
index_156,mmlu_clinical_knowledge,Which of the following is true about an abdominal mass?,D,models/gemini-2.0-flash,B,B,Incorrect
index_157,mmlu_clinical_knowledge,Which of the following is not a category used to classify patients according to the Glasgow Coma Scale?,D,models/gemini-2.0-flash,D,D,Correct
index_158,mmlu_clinical_knowledge,Which of these combinations of clinical features is most suggestive of mixed mitral valve disease with a predominance of mitral regurgitation?,A,models/gemini-2.0-flash,A,A,Correct
index_159,mmlu_clinical_knowledge,"Prior to undergoing a painful procedure, a patient should be informed about what to expect and how their pain will be controlled, as this is associated with:",A,models/gemini-2.0-flash,A,A,Correct
index_160,mmlu_clinical_knowledge,The conversion of one molecule of glucose to two molecules of pyruvate results in the net formation of:,B,models/gemini-2.0-flash,B,B,Correct
index_161,mmlu_clinical_knowledge,The net production of ATP via substrate-level phosphorylation in glycolysis is:,A,models/gemini-2.0-flash,B,B,Incorrect
index_162,mmlu_clinical_knowledge,Which of the following is true about rectal bleeding?,A,models/gemini-2.0-flash,A,A,Correct
index_163,mmlu_clinical_knowledge,Mutations are errors in DNA that:,D,models/gemini-2.0-flash,D,D,Correct
index_164,mmlu_clinical_knowledge,"When recording peak flow results, within how many litres/minute should the three readings be?",B,models/gemini-2.0-flash,B,B,Correct
index_165,mmlu_clinical_knowledge,Peak flow meters record:,D,models/gemini-2.0-flash,D,D,Correct
index_166,mmlu_clinical_knowledge,Which of the following should patients remember when taking paracetamol?,C,models/gemini-2.0-flash,C,C,Correct
index_167,mmlu_clinical_knowledge,Which of the following molecules does not form part of DNA?,D,models/gemini-2.0-flash,D,D,Correct
index_168,mmlu_clinical_knowledge,Which of the following is true about jaundice?,C,models/gemini-2.0-flash,C,C,Correct
index_169,mmlu_clinical_knowledge,Which of the following nucleotide bases is not found in RNA?,A,models/gemini-2.0-flash,A,A,Correct
index_170,mmlu_clinical_knowledge,Bronchial breathing is characterized by,B,models/gemini-2.0-flash,B,B,Correct
index_171,mmlu_clinical_knowledge,Which of the following drugs is most commonly responsible for patients who present with acute confusion?,C,models/gemini-2.0-flash,C,C,Correct
index_172,mmlu_clinical_knowledge,The frontal lobe of the brain's cortex is responsible for which of the following?,B,models/gemini-2.0-flash,B,B,Correct
index_173,mmlu_clinical_knowledge,The carpal bones are the small bones of the wrist - name them.,A,models/gemini-2.0-flash,A,A,Correct
index_174,mmlu_clinical_knowledge,The process of translation requires the presence of:,A,models/gemini-2.0-flash,A,A,Correct
index_175,mmlu_clinical_knowledge,What is 'coring'?,D,models/gemini-2.0-flash,D,D,Correct
index_176,mmlu_clinical_knowledge,What must you ensure before a speaking valve is used?,C,models/gemini-2.0-flash,C,C,Correct
index_177,mmlu_clinical_knowledge,Which one of the following statements is true with regard to intravenous drug administration?,C,models/gemini-2.0-flash,C,C,Correct
index_178,mmlu_clinical_knowledge,Which of the following factors can affect enzyme activity?,D,models/gemini-2.0-flash,D,D,Correct
index_179,mmlu_clinical_knowledge,"For very high force contractions lasting 1-2 seconds, the initial energy source is from:",D,models/gemini-2.0-flash,D,D,Correct
index_180,mmlu_clinical_knowledge,A change in blood pressure is detected by the:,A,models/gemini-2.0-flash,A,A,Correct
index_181,mmlu_clinical_knowledge,Blood clots are responsible for repeatedly blocking a catheter. What should you do?,B,models/gemini-2.0-flash,B,B,Correct
index_182,mmlu_clinical_knowledge,What is the pH of water?,B,models/gemini-2.0-flash,B,B,Correct
index_183,mmlu_clinical_knowledge,How long can a cannula remain in situ?,D,models/gemini-2.0-flash,D,D,Correct
index_184,mmlu_clinical_knowledge,Metabolism is determined by the:,C,models/gemini-2.0-flash,C,C,Correct
index_185,mmlu_clinical_knowledge,How many chromosomes do all human somatic cells contain?,D,models/gemini-2.0-flash,D,D,Correct
index_186,mmlu_clinical_knowledge,Under what circumstances would you use antibiotics prior to catheterization?,C,models/gemini-2.0-flash,C,C,Correct
index_187,mmlu_clinical_knowledge,Which of these features suggest that a pulsation in the neck is arterial?,C,models/gemini-2.0-flash,D,D,Incorrect
index_188,mmlu_clinical_knowledge,The rate limiting enzyme of glycolysis is:,D,models/gemini-2.0-flash,D,D,Correct
index_189,mmlu_clinical_knowledge,Which of the following is true about haemorrhoids?,B,models/gemini-2.0-flash,B,B,Correct
index_190,mmlu_clinical_knowledge,Selective Androgen Receptor Modulators (SARMs) are:,C,models/gemini-2.0-flash,C,C,Correct
index_191,mmlu_clinical_knowledge,"The β-oxidation of a molecule of palmitic acid, CH3(CH2)14CO2H:",A,models/gemini-2.0-flash,A,A,Correct
index_192,mmlu_clinical_knowledge,Which products of ADP degradation increase in concentration in the blood during multiple sprint sports?,A,models/gemini-2.0-flash,A,A,Correct
index_193,mmlu_clinical_knowledge,The optimum position for performing CPR is to position the patient:,C,models/gemini-2.0-flash,C,C,Correct
index_194,mmlu_clinical_knowledge,The complete resynthesis of phosphocreatine after very high intensity exercise normally takes:,D,models/gemini-2.0-flash,D,D,Correct
index_195,mmlu_clinical_knowledge,What type of joint is the elbow?,C,models/gemini-2.0-flash,C,C,Correct
index_196,mmlu_clinical_knowledge,A hypertonic solution is:,A,models/gemini-2.0-flash,A,A,Correct
index_197,mmlu_clinical_knowledge,Which of these is not necessary when examining the jugular venous pulse?,B,models/gemini-2.0-flash,B,B,Correct
index_198,mmlu_clinical_knowledge,The maximum sustainable power:,B,models/gemini-2.0-flash,B,B,Correct
index_199,mmlu_clinical_knowledge,Fast-twitch fibres contain:,C,models/gemini-2.0-flash,C,C,Correct
index_200,mmlu_clinical_knowledge,The rate of blood lactate accumulation is determined by:,D,models/gemini-2.0-flash,D,D,Correct
index_201,mmlu_clinical_knowledge,The enzymes of glycolysis are located in the:,C,models/gemini-2.0-flash,C,C,Correct
index_202,mmlu_clinical_knowledge,"The energy released from the breakdown of the high-energy phosphates, ATP and phosphocreatine, can sustain maximal exertion exercise for about:",B,models/gemini-2.0-flash,B,B,Correct
index_203,mmlu_clinical_knowledge,Prosthetic groups are:,D,models/gemini-2.0-flash,D,D,Correct
index_204,mmlu_clinical_knowledge,Which of the following is true in peripheral neuropathy?,A,models/gemini-2.0-flash,A,A,Correct
index_205,mmlu_clinical_knowledge,Which of the following is true about involuntary movements in the arm?,D,models/gemini-2.0-flash,D,D,Correct
index_206,mmlu_clinical_knowledge,Which of these options is not recognized as a cause of chronic cough?,D,models/gemini-2.0-flash,D,D,Correct
index_207,mmlu_clinical_knowledge,Which of the following is recommended for cleaning the mouth?,B,models/gemini-2.0-flash,B,B,Correct
index_208,mmlu_clinical_knowledge,As a general principle what is the best approach to the use of analgesic drugs following surgery?,B,models/gemini-2.0-flash,B,B,Correct
index_209,mmlu_clinical_knowledge,Which of the following best describes nociceptive pain?,A,models/gemini-2.0-flash,A,A,Correct
index_210,mmlu_clinical_knowledge,Complete the following: A variation of serial peak flow readings over a two week period are considered diagnostic in . . .,A,models/gemini-2.0-flash,A,A,Correct
index_211,mmlu_clinical_knowledge,Under which circumstances would you not use a catheter valve?,A,models/gemini-2.0-flash,A,A,Correct
index_212,mmlu_clinical_knowledge,Which of the following is true of Paget's Disease?,A,models/gemini-2.0-flash,A,A,Correct
index_213,mmlu_clinical_knowledge,Your first action following confirmation of cardiac arrest is to:,A,models/gemini-2.0-flash,C,C,Incorrect
index_214,mmlu_clinical_knowledge,What is an urgent reason for catheterizing a patient?,A,models/gemini-2.0-flash,A,A,Correct
index_215,mmlu_clinical_knowledge,Which of the following is true?,B,models/gemini-2.0-flash,B,B,Correct
index_216,mmlu_clinical_knowledge,"Who has legal responsibility for a patient's care during hospital admission, stay, and discharge?",B,models/gemini-2.0-flash,B,B,Correct
index_217,mmlu_clinical_knowledge,Endurance training increases the muscle's capacity to:,C,models/gemini-2.0-flash,C,C,Correct
index_218,mmlu_clinical_knowledge,An action potential arriving at the motor endplate causes release of:,A,models/gemini-2.0-flash,A,A,Correct
index_219,mmlu_clinical_knowledge,Your patient has diabetes. Why is this important?,B,models/gemini-2.0-flash,B,B,Correct
index_220,mmlu_clinical_knowledge,What is meant by the term 'passive movements'?,D,models/gemini-2.0-flash,D,D,Correct
index_221,mmlu_clinical_knowledge,What is a tracheostomy?,B,models/gemini-2.0-flash,B,B,Correct
index_222,mmlu_clinical_knowledge,Which of the following is true of haematemesis?,A,models/gemini-2.0-flash,A,A,Correct
index_223,mmlu_clinical_knowledge,Which of the following is true of rheumatoid arthritis?,C,models/gemini-2.0-flash,C,C,Correct
index_224,mmlu_clinical_knowledge,Why should careful consideration be given to providing people aged over 65 with information sources that are internet based?,B,models/gemini-2.0-flash,B,B,Correct
index_225,mmlu_clinical_knowledge,Which of the following is true about the carpal tunnel syndrome?,A,models/gemini-2.0-flash,A,A,Correct
index_226,mmlu_clinical_knowledge,How many CO2 and ATP molecules are formed during one complete turn of the tricarboxylic acid cycle (Krebs' cycle)?,D,models/gemini-2.0-flash,D,D,Correct
index_227,mmlu_clinical_knowledge,"Which potential complication of IV therapy is described thus: 'Leakage of vesicant (irritant) medication or fluid into surrounding tissues, causing tissue damage'?",A,models/gemini-2.0-flash,A,A,Correct
index_228,mmlu_clinical_knowledge,Which of the following is present in saliva and has an antibacterial action?,A,models/gemini-2.0-flash,A,A,Correct
index_229,mmlu_clinical_knowledge,The genome is:,B,models/gemini-2.0-flash,B,B,Correct
index_230,mmlu_clinical_knowledge,Alterations in which neurotransmitters in the brain by pharmacological agents has been shown to influence fatigue development?,D,models/gemini-2.0-flash,D,D,Correct
index_231,mmlu_clinical_knowledge,In all-out exercise such as sprinting the first fibre types to fatigue are the:,D,models/gemini-2.0-flash,D,D,Correct
index_232,mmlu_clinical_knowledge,The main fate of lactate that leaves muscle and enters the circulation is:,D,models/gemini-2.0-flash,D,D,Correct
index_233,mmlu_clinical_knowledge,The most rapid method to resynthesize ATP during exercise is through:,B,models/gemini-2.0-flash,B,B,Correct
index_234,mmlu_clinical_knowledge,Which of the following is true in a sensory assessment of the arm?,B,models/gemini-2.0-flash,C,C,Incorrect
index_235,mmlu_clinical_knowledge,The blood glucose concentration during 80-90 minutes of intermittent high intensity exercise:,A,models/gemini-2.0-flash,A,A,Correct
index_236,mmlu_clinical_knowledge,One of the most common reasons for stoma formation is:,C,models/gemini-2.0-flash,C,C,Correct
index_237,mmlu_clinical_knowledge,A surgical support can be used for:,C,models/gemini-2.0-flash,C,C,Correct
index_238,mmlu_clinical_knowledge,What size of catheter bag may be used at night?,D,models/gemini-2.0-flash,D,D,Correct
index_239,mmlu_clinical_knowledge,Anaerobic metabolism refers to the generation of ATP:,C,models/gemini-2.0-flash,C,C,Correct
index_240,mmlu_clinical_knowledge,Approximately how many kJ of energy are expended if an athlete's steady-rate oxygen uptake averages 3.0 l/min for 5 minutes of exercise?,C,models/gemini-2.0-flash,A,A,Incorrect
index_241,mmlu_clinical_knowledge,A patient has been on the operating table for four hours. How long may it take for any pressure damage to be visible?,B,models/gemini-2.0-flash,A,A,Incorrect
index_242,mmlu_clinical_knowledge,Eccrine and apocrine glands are both types of:,A,models/gemini-2.0-flash,A,A,Correct
index_243,mmlu_clinical_knowledge,Which of the following is true of the assessment of power in the arms?,C,models/gemini-2.0-flash,A,A,Incorrect
index_244,mmlu_clinical_knowledge,"Two of the following are evident - pain at IV site, erythema, and swelling. What stage on the phlebitis scale is this and what should you do?",B,models/gemini-2.0-flash,B,B,Correct
index_245,mmlu_clinical_knowledge,Which hormone is primarily responsible for fluid regulation?,A,models/gemini-2.0-flash,A,A,Correct
index_246,mmlu_clinical_knowledge,The low intake of carbohydrate in the diet:,C,models/gemini-2.0-flash,C,C,Correct
index_247,mmlu_clinical_knowledge,Phophocreatine resynthesis during recovery from exercise is inhibited by:,D,models/gemini-2.0-flash,D,D,Correct
index_248,mmlu_clinical_knowledge,The transcription of DNA to a molecule of messenger RNA occurs:,C,models/gemini-2.0-flash,C,C,Correct
index_249,mmlu_clinical_knowledge,Oedema is the presence of:,B,models/gemini-2.0-flash,B,B,Correct
index_250,mmlu_clinical_knowledge,Why should the short-acting bronchodilator be taken first?,A,models/gemini-2.0-flash,A,A,Correct
index_251,mmlu_clinical_knowledge,Which of the following is true about an intention tremor?,C,models/gemini-2.0-flash,C,C,Correct
index_252,mmlu_clinical_knowledge,Glucose is transported into the muscle cell:,A,models/gemini-2.0-flash,A,A,Correct
index_253,mmlu_clinical_knowledge,Oxygen is used:,B,models/gemini-2.0-flash,N/A,None of the above.,Parsing Failed
index_254,mmlu_clinical_knowledge,Measuring the blood pressure in an arm that is above the level of the heart will:,D,models/gemini-2.0-flash,D,D,Correct
index_255,mmlu_clinical_knowledge,When you are taking a musculoskeletal history which of the following is true?,A,models/gemini-2.0-flash,A,A,Correct
index_256,mmlu_clinical_knowledge,Why are male patients advised to take their own electric razor to hospital?,C,models/gemini-2.0-flash,C,C,Correct
index_257,mmlu_clinical_knowledge,Which organ secretes insulin?,B,models/gemini-2.0-flash,B,B,Correct
index_258,mmlu_clinical_knowledge,"When teaching a patient inhaler technique, how will you ensure that a large proportion of the drug reaches the lower airways?",D,models/gemini-2.0-flash,D,D,Correct
index_259,mmlu_clinical_knowledge,Why should a patient stand or sit as upright as possible when recording a peak flow rate?,A,models/gemini-2.0-flash,A,A,Correct
index_260,mmlu_clinical_knowledge,Why might a patient need a tracheostomy?,C,models/gemini-2.0-flash,C,C,Correct
index_261,mmlu_clinical_knowledge,"In general, the higher the intensity of exercise, the greater the proportional contribution of:",B,models/gemini-2.0-flash,B,B,Correct
index_262,mmlu_clinical_knowledge,What is the second commonest hospital acquired infection?,D,models/gemini-2.0-flash,B,B,Incorrect
index_263,mmlu_clinical_knowledge,Phosphocreatine in the muscle cell is found in:,D,models/gemini-2.0-flash,D,D,Correct
index_264,mmlu_clinical_knowledge,The patient's self-report of pain is important because health care staff:,C,models/gemini-2.0-flash,C,C,Correct
