dataset,id,question,ground_truth_answer,ground_truth_explanation,num_models_incorrect,models_incorrect_list,gemini_model_id,nvidia_model_id,vertex_gemma_model_id,gemini_parsed,nvidia_parsed,vertex_gemma_parsed
mmlu_clinical_knowledge,index_183,How long can a cannula remain in situ?,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,B
mmlu_clinical_knowledge,index_187,Which of these features suggest that a pulsation in the neck is arterial?,C,,2,"gemini, vertex_gemma",models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,C,D
mmlu_clinical_knowledge,index_190,Selective Androgen Receptor Modulators (SARMs) are:,C,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,C,A
mmlu_clinical_knowledge,index_194,The complete resynthesis of phosphocreatine after very high intensity exercise normally takes:,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,A
mmlu_clinical_knowledge,index_195,What type of joint is the elbow?,C,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,C,A
mmlu_clinical_knowledge,index_197,Which of these is not necessary when examining the jugular venous pulse?,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,C
mmlu_clinical_knowledge,index_198,The maximum sustainable power:,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,D
mmlu_clinical_knowledge,index_199,Fast-twitch fibres contain:,C,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,C,A
mmlu_clinical_knowledge,index_200,The rate of blood lactate accumulation is determined by:,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,A
mmlu_clinical_knowledge,index_203,Prosthetic groups are:,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,B
mmlu_clinical_knowledge,index_205,Which of the following is true about involuntary movements in the arm?,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,C
mmlu_clinical_knowledge,index_207,Which of the following is recommended for cleaning the mouth?,B,,1,nvidia,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,D,B
mmlu_clinical_knowledge,index_208,As a general principle what is the best approach to the use of analgesic drugs following surgery?,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,A
mmlu_clinical_knowledge,index_211,Under which circumstances would you not use a catheter valve?,A,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,A,A,C
mmlu_clinical_knowledge,index_212,Which of the following is true of Paget's Disease?,A,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,A,A,B
mmlu_clinical_knowledge,index_213,Your first action following confirmation of cardiac arrest is to:,A,,2,"gemini, nvidia",models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,D,A
mmlu_clinical_knowledge,index_216,"Who has legal responsibility for a patient's care during hospital admission, stay, and discharge?",B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,C
mmlu_clinical_knowledge,index_220,What is meant by the term 'passive movements'?,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,B
mmlu_clinical_knowledge,index_221,What is a tracheostomy?,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,A
mmlu_clinical_knowledge,index_224,Why should careful consideration be given to providing people aged over 65 with information sources that are internet based?,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,A
mmlu_clinical_knowledge,index_226,How many CO2 and ATP molecules are formed during one complete turn of the tricarboxylic acid cycle (Krebs' cycle)?,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,B
mmlu_clinical_knowledge,index_231,In all-out exercise such as sprinting the first fibre types to fatigue are the:,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,C
mmlu_clinical_knowledge,index_234,Which of the following is true in a sensory assessment of the arm?,B,,2,"gemini, vertex_gemma",models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,B,A
mmlu_clinical_knowledge,index_235,The blood glucose concentration during 80-90 minutes of intermittent high intensity exercise:,A,,1,nvidia,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,A,B,A
mmlu_clinical_knowledge,index_238,What size of catheter bag may be used at night?,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,A
mmlu_clinical_knowledge,index_240,Approximately how many kJ of energy are expended if an athlete's steady-rate oxygen uptake averages 3.0 l/min for 5 minutes of exercise?,C,,1,gemini,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,A,C,C
mmlu_clinical_knowledge,index_241,A patient has been on the operating table for four hours. How long may it take for any pressure damage to be visible?,B,,3,"gemini, nvidia, vertex_gemma",models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,A,C,C
mmlu_clinical_knowledge,index_243,Which of the following is true of the assessment of power in the arms?,C,,2,"gemini, vertex_gemma",models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,A,C,D
mmlu_clinical_knowledge,index_244,"Two of the following are evident - pain at IV site, erythema, and swelling. What stage on the phlebitis scale is this and what should you do?",B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,C
mmlu_clinical_knowledge,index_247,Phophocreatine resynthesis during recovery from exercise is inhibited by:,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,A
mmlu_clinical_knowledge,index_253,Oxygen is used:,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,,B,A
mmlu_clinical_knowledge,index_254,Measuring the blood pressure in an arm that is above the level of the heart will:,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,B
mmlu_clinical_knowledge,index_257,Which organ secretes insulin?,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,A
mmlu_clinical_knowledge,index_258,"When teaching a patient inhaler technique, how will you ensure that a large proportion of the drug reaches the lower airways?",D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,B
mmlu_clinical_knowledge,index_262,What is the second commonest hospital acquired infection?,D,,3,"gemini, nvidia, vertex_gemma",models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,A
mmlu_clinical_knowledge,index_263,Phosphocreatine in the muscle cell is found in:,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,A
mmlu_clinical_knowledge,index_264,The patient's self-report of pain is important because health care staff:,C,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,C,A
mmlu_clinical_knowledge,index_4,In what situation are closed pouches applied?,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,A
mmlu_clinical_knowledge,index_6,Which of the following is true in diplopia?,B,,2,"gemini, vertex_gemma",models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,,A
mmlu_clinical_knowledge,index_11,Which of the following is true of a lower motor neurone lesion in the arm?,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,A
mmlu_clinical_knowledge,index_12,Which of the following statements is false?,B,,1,gemini,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,B,B
mmlu_clinical_knowledge,index_13,Glycogen breakdown in muscle initially results in the formation of:,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,C
mmlu_clinical_knowledge,index_16,Which of the following is true about a thyroid swelling?,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,A
mmlu_clinical_knowledge,index_17,Which of the following is true of hepatomegaly?,C,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,C,A
mmlu_clinical_knowledge,index_18,Which of the following is true regarding reflexes?,C,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,C,A
mmlu_clinical_knowledge,index_19,Which of the following is true of facial nerve palsy?,C,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,C,A
mmlu_clinical_knowledge,index_20,What is a colles fracture?,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,B
mmlu_clinical_knowledge,index_22,"Once a prescribed unit of blood product has been obtained from the blood bank and is out of refrigeration, the transfusion should commence within what period of time before it starts to deteriorate (as of 2020 medical knowledge)?",A,,2,"gemini, vertex_gemma",models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,A,B
mmlu_clinical_knowledge,index_25,Why would you need to carry out a bladder washout for a patient at home?,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,C
mmlu_clinical_knowledge,index_26,A 14-16 gauge needle is most likely to be used for:,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,C
mmlu_clinical_knowledge,index_28,In games like soccer the blood lactate concentration:,B,,2,"gemini, vertex_gemma",models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,B,C
mmlu_clinical_knowledge,index_29,Lactate and hydrogen ions leave the muscle:,C,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,C,A
mmlu_clinical_knowledge,index_31,Which of the following is true of psoriatic arthropathy?,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,C
mmlu_clinical_knowledge,index_33,Which of the following is true of calcium metabolism?,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,A
mmlu_clinical_knowledge,index_35,The normal respiratory rate for an adult male is:,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,B
mmlu_clinical_knowledge,index_36,Collagen fibres:,C,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,C,A
mmlu_clinical_knowledge,index_37,Which of the following releases most energy when completely oxidised in the body?,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,A
mmlu_clinical_knowledge,index_39,"If the mean rate of oxygen consumption of a male athlete during a training session is 2 l/min, then his rate of energy expenditure is approximately:",D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,A
mmlu_clinical_knowledge,index_40,A normal heart rate for an adult at rest is:,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,A
mmlu_clinical_knowledge,index_43,How much toothpaste is recommended for cleaning teeth?,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,A
mmlu_clinical_knowledge,index_48,Glycogen breakdown in exercising muscle is activated by:,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,A
mmlu_clinical_knowledge,index_49,Most of the free fatty acids are transported in the blood:,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,A
mmlu_clinical_knowledge,index_50,How often should a cannula be flushed?,C,,3,"gemini, nvidia, vertex_gemma",models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,A,B,A
mmlu_clinical_knowledge,index_54,During CPR chest compressions and ventilations should be delivered in a ratio of:,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,A
mmlu_clinical_knowledge,index_55,A person weighs 62 kg. Their drug dose is 15 mg/kg. How many grams is their dose? Choose one answer from the following:,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,A
mmlu_clinical_knowledge,index_57,The cardiac cycle consists of the phases:,C,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,C,B
mmlu_clinical_knowledge,index_59,The chain of survival has four links. Put the following list in the correct order: 1. Early defibrillation; 2. Early CPR; 3. Recognition and call for help early; 4. Post-resuscitation care.,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,A
mmlu_clinical_knowledge,index_61,Which of the following is true about possible rectal findings?,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,A
mmlu_clinical_knowledge,index_63,Which of the following is true of Systemic Sclerosis?,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,C
mmlu_clinical_knowledge,index_64,A palpable left parasternal impulse suggests which abnormality?,A,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,A,A,D
mmlu_clinical_knowledge,index_65,"In hypovolaemic shock, what percentage of blood can be lost before it is reflected in changes in heart rate and blood pressure?",D,,2,"gemini, vertex_gemma",models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,,A
mmlu_clinical_knowledge,index_69,What might make the nurse think a patient could not use an inhaler?,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,A
mmlu_clinical_knowledge,index_70,Removal of adhesive strips:,A,,1,nvidia,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,A,B,A
mmlu_clinical_knowledge,index_73,"When using an inhaler, when should a patient be asked to rinse their mouth?",D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,B
mmlu_clinical_knowledge,index_74,Muscle lactate production increases when:,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,C
mmlu_clinical_knowledge,index_75,What is the minimum time a stretch should be held for?,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,A
mmlu_clinical_knowledge,index_77,Name the bones of the middle finger in the correct order from the hand.,A,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,A,A,B
mmlu_clinical_knowledge,index_79,An ileostomy opening should be:,B,,2,"gemini, vertex_gemma",models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,A,B,C
mmlu_clinical_knowledge,index_80,Which of the following would not be done before catheterizing?,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,C
mmlu_clinical_knowledge,index_81,Hydrogen ions are formed when:,D,,2,"gemini, vertex_gemma",models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,,C
mmlu_clinical_knowledge,index_83,"Dopamine is prescribed at a rate of 4 micrograms/kg/min. For a 65 kg person, how many milligrams will they receive in an hour?",B,,1,gemini,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,A,B,B
mmlu_clinical_knowledge,index_85,Why can't a patient talk if the cuff is inflated?,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,B
mmlu_clinical_knowledge,index_87,Creatine is synthesized from:,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,A
mmlu_clinical_knowledge,index_89,Bladder washout solution should be:,D,,2,"nvidia, vertex_gemma",models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,A,A
mmlu_clinical_knowledge,index_94,"If a patient is cyanosed, what might their oxygen saturation level be?",C,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,C,A
mmlu_clinical_knowledge,index_96,A person is prescribed Ropinirole 1.5 mg divided into three doses. How many micrograms is each dose? Choose one answer from the following:,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,A
mmlu_clinical_knowledge,index_98,The ATP store in muscle can only supply energy in high intensity exercise for about:,B,,2,"gemini, vertex_gemma",models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,B,C
pubmedqa_pqa_l,16418930,Landolt C and snellen e acuity: differences in strabismus amblyopia?,no,,1,vertex_gemma,,,vertex-7050478675136872448,,,yes
pubmedqa_pqa_l,17208539,Are the long-term results of the transanal pull-through equal to those of the transabdominal pull-through?,no,,1,vertex_gemma,,,vertex-7050478675136872448,,,yes
pubmedqa_pqa_l,26037986,30-Day and 1-year mortality in emergency general surgery laparotomies: an area of concern and need for improvement?,maybe,,1,vertex_gemma,,,vertex-7050478675136872448,,,yes
pubmedqa_pqa_l,26852225,Is adjustment for reporting heterogeneity necessary in sleep disorders?,no,,1,vertex_gemma,,,vertex-7050478675136872448,,,yes
pubmedqa_pqa_l,17113061,Do mutations causing low HDL-C promote increased carotid intima-media thickness?,no,,1,vertex_gemma,,,vertex-7050478675136872448,,,yes
pubmedqa_pqa_l,18847643,Therapeutic anticoagulation in the trauma patient: is it safe?,no,,1,vertex_gemma,,,vertex-7050478675136872448,,,yes
pubmedqa_pqa_l,25957366,Prompting Primary Care Providers about Increased Patient Risk As a Result of Family History: Does It Work?,no,,1,vertex_gemma,,,vertex-7050478675136872448,,,yes
pubmedqa_pqa_l,10966943,Amblyopia: is visual loss permanent?,no,,1,vertex_gemma,,,vertex-7050478675136872448,,,yes
pubmedqa_pqa_l,17940352,Does HER2 immunoreactivity provide prognostic information in locally advanced urothelial carcinoma patients receiving adjuvant M-VEC chemotherapy?,maybe,,1,vertex_gemma,,,vertex-7050478675136872448,,,yes
pubmedqa_pqa_l,7482275,Necrotizing fasciitis: an indication for hyperbaric oxygenation therapy?,no,,1,vertex_gemma,,,vertex-7050478675136872448,,,yes
pubmedqa_pqa_l,24183388,Is the Hawkins sign able to predict necrosis in fractures of the neck of the astragalus?,maybe,,1,vertex_gemma,,,vertex-7050478675136872448,,,yes
pubmedqa_pqa_l,9645785,Is a mandatory general surgery rotation necessary in the surgical clerkship?,no,,1,vertex_gemma,,,vertex-7050478675136872448,,,yes
pubmedqa_pqa_l,18534072,Do general practice characteristics influence uptake of an information technology (IT) innovation in primary care?,no,,1,vertex_gemma,,,vertex-7050478675136872448,,,yes
pubmedqa_pqa_l,8847047,Prognosis of well differentiated small hepatocellular carcinoma--is well differentiated hepatocellular carcinoma clinically early cancer?,no,,1,vertex_gemma,,,vertex-7050478675136872448,,,yes
pubmedqa_pqa_l,10575390,Do follow-up recommendations for abnormal Papanicolaou smears influence patient adherence?,no,,1,vertex_gemma,,,vertex-7050478675136872448,,,yes
pubmedqa_pqa_l,15703931,Does diabetes mellitus influence the efficacy of FDG-PET in the diagnosis of cervical cancer?,no,,1,vertex_gemma,,,vertex-7050478675136872448,,,yes
pubmedqa_pqa_l,14599616,Can a practicing surgeon detect early lymphedema reliably?,maybe,,1,vertex_gemma,,,vertex-7050478675136872448,,,yes
pubmedqa_pqa_l,22537902,Colorectal cancer with synchronous liver metastases: does global management at the same centre improve results?,no,,1,vertex_gemma,,,vertex-7050478675136872448,,,yes
