dataset,id,question,ground_truth_answer,ground_truth_explanation,num_models_incorrect,models_incorrect_list,gemini_model_id,nvidia_model_id,vertex_gemma_model_id,gemini_parsed,nvidia_parsed,vertex_gemma_parsed,question_length,word_count,token_count,clean_question,clean_explanation,domains,gemini_correct,nvidia_correct,vertex_gemma_correct,cluster,tsne_x,tsne_y,difficulty
mmlu_clinical_knowledge,index_183,How long can a cannula remain in situ?,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,B,38,8,8,long can cannula remain in situ,nan,['unclassified'],1,1,0,0,-0.79958975,-1.4981544,0.3333333333333333
mmlu_clinical_knowledge,index_187,Which of these features suggest that a pulsation in the neck is arterial?,C,,2,"gemini, vertex_gemma",models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,C,D,73,13,13,of these features pulsation in the neck is arterial,nan,['unclassified'],0,1,0,0,43.92366,-13.233022,0.6666666666666666
mmlu_clinical_knowledge,index_190,Selective Androgen Receptor Modulators (SARMs) are:,C,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,C,A,51,6,6,selective androgen receptor modulators sarms are,nan,"['pharmacology', 'radiology']",1,1,0,0,-4.2843094,-6.475963,0.3333333333333333
mmlu_clinical_knowledge,index_194,The complete resynthesis of phosphocreatine after very high intensity exercise normally takes:,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,A,94,12,12,the complete resynthesis of phosphocreatine very high intensity exercise normally takes,nan,['infectious_disease'],1,1,0,0,-3.544154,-1.0884215,0.3333333333333333
mmlu_clinical_knowledge,index_195,What type of joint is the elbow?,C,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,C,A,32,7,7,type of joint is the elbow,nan,['orthopedics'],1,1,0,0,3.2335196,63.044807,0.3333333333333333
mmlu_clinical_knowledge,index_197,Which of these is not necessary when examining the jugular venous pulse?,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,C,72,12,12,of these is necessary examining the jugular venous pulse,nan,['unclassified'],1,1,0,0,-48.024044,-2.4116838,0.3333333333333333
mmlu_clinical_knowledge,index_198,The maximum sustainable power:,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,D,30,4,4,the maximum sustainable power,nan,['unclassified'],1,1,0,0,-3.4529212,-6.0661454,0.3333333333333333
mmlu_clinical_knowledge,index_199,Fast-twitch fibres contain:,C,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,C,A,27,3,4,fasttwitch fibres contain,nan,['unclassified'],1,1,0,0,-1.9966754,-1.8853525,0.3333333333333333
mmlu_clinical_knowledge,index_200,The rate of blood lactate accumulation is determined by:,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,A,56,9,9,the of blood lactate accumulation is determined by,nan,"['hematology', 'radiology']",1,1,0,6,-47.005226,34.690308,0.3333333333333333
mmlu_clinical_knowledge,index_203,Prosthetic groups are:,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,B,22,3,3,prosthetic groups are,nan,['unclassified'],1,1,0,0,-2.9955513,-3.1665225,0.3333333333333333
mmlu_clinical_knowledge,index_205,Which of the following is true about involuntary movements in the arm?,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,C,70,12,12,of the is about involuntary movements in the arm,nan,['otolaryngology'],1,1,0,0,-4.519403,-5.449018,0.3333333333333333
mmlu_clinical_knowledge,index_207,Which of the following is recommended for cleaning the mouth?,B,,1,nvidia,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,D,B,61,10,10,of the is for cleaning the mouth,nan,['unclassified'],1,0,1,0,1.9449852,1.2015527,0.3333333333333333
mmlu_clinical_knowledge,index_208,As a general principle what is the best approach to the use of analgesic drugs following surgery?,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,A,97,17,17,general principle is the best approach to the of analgesic drugs surgery,nan,"['gastroenterology', 'rheumatology', 'pharmacology', 'surgery']",1,1,0,7,56.94424,-28.5434,0.3333333333333333
mmlu_clinical_knowledge,index_211,Under which circumstances would you not use a catheter valve?,A,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,A,A,C,61,10,10,under circumstances would you catheter valve,nan,['cardiology'],1,1,0,0,-4.5825677,-4.3532295,0.3333333333333333
mmlu_clinical_knowledge,index_212,Which of the following is true of Paget's Disease?,A,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,A,A,B,50,9,10,of the is of pagets,nan,['unclassified'],1,1,0,0,-3.861412,-3.7496111,0.3333333333333333
mmlu_clinical_knowledge,index_213,Your first action following confirmation of cardiac arrest is to:,A,,2,"gemini, nvidia",models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,D,A,65,10,10,first action confirmation of cardiac arrest is to,nan,"['cardiology', 'emergency_medicine', 'radiology']",0,0,1,0,-3.0146163,15.559451,0.6666666666666666
mmlu_clinical_knowledge,index_216,"Who has legal responsibility for a patient's care during hospital admission, stay, and discharge?",B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,C,97,14,15,has legal responsibility for admission stay and discharge,nan,"['orthopedics', 'otolaryngology']",1,1,0,0,-2.9027035,-3.886636,0.3333333333333333
mmlu_clinical_knowledge,index_220,What is meant by the term 'passive movements'?,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,B,46,8,8,is meant by the term passive movements,nan,['otolaryngology'],1,1,0,0,-1.8936921,-3.1869745,0.3333333333333333
mmlu_clinical_knowledge,index_221,What is a tracheostomy?,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,A,23,4,4,is tracheostomy,nan,['otolaryngology'],1,1,0,0,0.41687012,-0.028735425,0.3333333333333333
mmlu_clinical_knowledge,index_224,Why should careful consideration be given to providing people aged over 65 with information sources that are internet based?,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,A,124,19,19,should careful consideration be given to aged over with information sources are internet based,nan,['unclassified'],1,1,0,0,1.2847149,0.57313186,0.3333333333333333
mmlu_clinical_knowledge,index_226,How many CO2 and ATP molecules are formed during one complete turn of the tricarboxylic acid cycle (Krebs' cycle)?,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,B,114,19,19,co and atp molecules are formed complete turn of the tricarboxylic acid cycle krebs cycle,nan,['unclassified'],1,1,0,0,8.85826,-5.6630135,0.3333333333333333
mmlu_clinical_knowledge,index_231,In all-out exercise such as sprinting the first fibre types to fatigue are the:,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,C,79,14,15,in allout exercise such sprinting the first fibre types to fatigue are the,nan,['unclassified'],1,1,0,0,3.0459306,0.2759928,0.3333333333333333
mmlu_clinical_knowledge,index_234,Which of the following is true in a sensory assessment of the arm?,B,,2,"gemini, vertex_gemma",models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,B,A,66,13,13,of the is in sensory of the arm,nan,['otolaryngology'],0,1,0,0,-0.6012776,1.467148,0.6666666666666666
mmlu_clinical_knowledge,index_235,The blood glucose concentration during 80-90 minutes of intermittent high intensity exercise:,A,,1,nvidia,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,A,B,A,93,12,13,the blood glucose concentration minutes of intermittent high intensity exercise,nan,"['endocrinology', 'hematology', 'otolaryngology']",1,0,1,6,-43.920097,34.08651,0.3333333333333333
mmlu_clinical_knowledge,index_238,What size of catheter bag may be used at night?,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,A,47,10,10,size of catheter bag may be at night,nan,['cardiology'],1,1,0,0,-2.190254,-5.6977725,0.3333333333333333
mmlu_clinical_knowledge,index_240,Approximately how many kJ of energy are expended if an athlete's steady-rate oxygen uptake averages 3.0 l/min for 5 minutes of exercise?,C,,1,gemini,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,A,C,C,136,22,26,approximately kj of energy are expended if an athletes steadyrate oxygen uptake averages lmin for minutes of exercise,nan,['pulmonology'],0,1,1,0,-62.883057,-19.866678,0.3333333333333333
mmlu_clinical_knowledge,index_241,A patient has been on the operating table for four hours. How long may it take for any pressure damage to be visible?,B,,3,"gemini, nvidia, vertex_gemma",models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,A,C,C,117,23,23,has been on the operating table for hours long may it take for any pressure damage to be visible,nan,['otolaryngology'],0,0,0,0,-51.380905,6.2679706,1.0
mmlu_clinical_knowledge,index_243,Which of the following is true of the assessment of power in the arms?,C,,2,"gemini, vertex_gemma",models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,A,C,D,70,14,14,of the is of the of power in the arms,nan,['otolaryngology'],0,1,0,0,-1.4706224,0.032382138,0.6666666666666666
mmlu_clinical_knowledge,index_244,"Two of the following are evident - pain at IV site, erythema, and swelling. What stage on the phlebitis scale is this and what should you do?",B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,C,141,27,26,of the are evident pain at iv site erythema and swelling stage on the phlebitis scale is this and should you do,nan,['otolaryngology'],1,1,0,0,-33.75042,-34.618023,0.3333333333333333
mmlu_clinical_knowledge,index_247,Phophocreatine resynthesis during recovery from exercise is inhibited by:,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,A,73,9,9,phophocreatine resynthesis recovery from exercise is inhibited by,nan,['infectious_disease'],1,1,0,0,-0.6384337,0.2237589,0.3333333333333333
mmlu_clinical_knowledge,index_253,Oxygen is used:,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,,B,A,15,3,3,oxygen is,nan,['pulmonology'],0,1,0,0,-63.63354,-19.720371,0.3333333333333333
mmlu_clinical_knowledge,index_254,Measuring the blood pressure in an arm that is above the level of the heart will:,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,B,81,16,16,measuring the blood pressure in an arm is above the of the heart will,nan,"['cardiology', 'hematology', 'otolaryngology']",1,1,0,6,-48.116535,31.204727,0.3333333333333333
mmlu_clinical_knowledge,index_257,Which organ secretes insulin?,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,A,29,4,4,organ secretes insulin,nan,"['endocrinology', 'infectious_disease']",1,1,0,0,-1.6088276,-2.5915103,0.3333333333333333
mmlu_clinical_knowledge,index_258,"When teaching a patient inhaler technique, how will you ensure that a large proportion of the drug reaches the lower airways?",D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,B,125,21,21,teaching inhaler technique will you ensure large proportion of the drug reaches the airways,nan,"['otolaryngology', 'emergency_medicine', 'pharmacology', 'anesthesiology']",1,1,0,0,1.3850847,1.9307104,0.3333333333333333
mmlu_clinical_knowledge,index_262,What is the second commonest hospital acquired infection?,D,,3,"gemini, nvidia, vertex_gemma",models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,A,57,8,8,is the second commonest acquired infection,nan,"['infectious_disease', 'radiology']",0,0,0,0,28.0917,23.766367,1.0
mmlu_clinical_knowledge,index_263,Phosphocreatine in the muscle cell is found in:,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,A,47,8,8,phosphocreatine in the muscle cell is found in,nan,['infectious_disease'],1,1,0,3,37.21147,0.35381925,0.3333333333333333
mmlu_clinical_knowledge,index_264,The patient's self-report of pain is important because health care staff:,C,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,C,A,73,11,13,the selfreport of pain is important because,nan,['otolaryngology'],1,1,0,0,-34.037853,-32.499332,0.3333333333333333
mmlu_clinical_knowledge,index_4,In what situation are closed pouches applied?,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,A,45,7,7,in situation are closed pouches applied,nan,['unclassified'],1,1,0,0,-8.18093,1.1989706,0.3333333333333333
mmlu_clinical_knowledge,index_6,Which of the following is true in diplopia?,B,,2,"gemini, vertex_gemma",models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,,A,43,8,8,of the is in diplopia,nan,['ophthalmology'],0,0,0,0,-1.4562522,-1.2038981,0.6666666666666666
mmlu_clinical_knowledge,index_11,Which of the following is true of a lower motor neurone lesion in the arm?,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,A,74,15,15,of the is of motor neurone lesion in the arm,nan,"['neurology', 'dermatology']",1,1,0,0,3.026725,1.200635,0.3333333333333333
mmlu_clinical_knowledge,index_12,Which of the following statements is false?,B,,1,gemini,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,B,B,43,7,7,of the statements is,nan,"['otolaryngology', 'emergency_medicine']",0,1,1,0,-0.81275785,-0.5426509,0.3333333333333333
mmlu_clinical_knowledge,index_13,Glycogen breakdown in muscle initially results in the formation of:,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,C,67,10,10,glycogen breakdown in muscle results in the formation of,nan,['neurology'],1,1,0,3,36.692303,-1.9711607,0.3333333333333333
mmlu_clinical_knowledge,index_16,Which of the following is true about a thyroid swelling?,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,A,56,10,10,of the is about thyroid swelling,nan,['endocrinology'],1,1,0,0,-2.1027024,-3.7354095,0.3333333333333333
mmlu_clinical_knowledge,index_17,Which of the following is true of hepatomegaly?,C,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,C,A,47,8,8,of the is of hepatomegaly,nan,['unclassified'],1,1,0,0,-1.4638748,1.0223147,0.3333333333333333
mmlu_clinical_knowledge,index_18,Which of the following is true regarding reflexes?,C,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,C,A,50,8,8,of the is regarding reflexes,nan,['unclassified'],1,1,0,0,3.7138126,1.8956109,0.3333333333333333
mmlu_clinical_knowledge,index_19,Which of the following is true of facial nerve palsy?,C,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,C,A,53,10,10,of the is of facial nerve palsy,nan,"['neurology', 'emergency_medicine']",1,1,0,0,-0.059409738,0.65504605,0.3333333333333333
mmlu_clinical_knowledge,index_20,What is a colles fracture?,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,B,26,5,5,is colles fracture,nan,"['orthopedics', 'emergency_medicine', 'radiology']",1,1,0,0,0.7141388,1.0150664,0.3333333333333333
