id,dataset,question,ground_truth_answer,ground_truth_explanation,gemini_model,gemini_parsed_answer,gemini_raw_response,gemini_outcome
968f0797-5a02-45e6-8ddc-2174b37144ee,medmcqa,All are true about precocious puberty except -,B,"Ans. is 'b' i.e., Secondary sexual characters before the age of 6 years o Precocious puberty is the appearance of appropriate secondary sexual characters before the age of 8 years and occurrence of menstruation before 10 years of chronological age.o It is divided into the following types:A) Gonadotropin dependent precocious puberty/ Central precocious puberty / True precocious puberty:# Most common cause is constitutional, due to early maturation and activation of the hypothalamic - pituitary - gonadal axis.# Both breast and pubic hair development in girls# Pubic hair development and testicular enlargement in boys# Early developing sexual characteristics are ""isosexual"", meaning they are consistent with the child's gender.# Initial spurt in the height followed by premature closure of epiphysis with the result the ultimate height remains stunted.B) Gonadotropin - independent precocious puberty/ Peripheral precocious puberty/Pseudo - precocious puberty:# Exposure to sex steroid hormones that derive from the gonads, the adrenals or the environment.# Further subclassified as isosexual when sexual characters are consistent with gender, and as contrasexual when inconsistent with gender (virilization in girls, or feminization in boys).# Autonomous functional ovarian follicular cysts are the most common cause of gonadotropin - independent precocious puberty in girls.C) Incomplete precocious puberty':# Children with isolated premature thelarche or premature adrenarche. Both usually represent variants of normal pubertal development, but some will progress to complete precocious puberty that may be gonadotropin - dependent or independent.",models/gemini-2.0-flash,B,B,Correct
57fa1424-b761-4bfd-b26a-5d69ec3c3752,medmcqa,Initiation of nerve impulse occurs at the axon hillock because :,A,"A i.e. It has lower threshold than rest of axonAxon hillock is the initial segment of neuron, nerve impulses begin in this initial segment of axon because it has lowest threshold potential.QAxon hillock:- This is a thickened area of cell body from which originates the long fibrous axon.AP is generated in this segment because the membrane at the axon hillock has grater concentration of voltage gated Na+ channels and therefore the threshold for excitation is lower than the rest of neuronsQ",models/gemini-2.0-flash,A,A,Correct
348b7edd-9d1d-441d-ae44-e05bfe9215de,medmcqa,Most common LMN cause of Facial nerve palsy is?,B,"*one of the most common cause of facial weakness is bell's palsy ,a lower motor neuron lesion of the 7th (facial)nerve ,effecting all ages and both sexes *here the lesion is within the facial canal . Ref Harrison20th editionpg 1082-1083",models/gemini-2.0-flash,C,C,Incorrect
25c324ae-9b1e-49b0-b849-3283f8b3a840,medmcqa,Malignant pustule occurs in -,D,,models/gemini-2.0-flash,D,D,Correct
fce45c6e-0c45-47d5-849a-59bfce0a8b29,medmcqa,"a child gets good marks in his exam and his father got a bicycle, he staed to read well, what is the line of therapy",A,"Behavioral therapy is learning given by BF Skinner , according to him all behaviors are learned phenomenon and thus can be unlearned Positive reinforcement a type of reinforcement when a behavior is rewarded there is more chance that the behavior is repeated Negative reinforcement is that when a behavior is done and an aversive response is removed, the behavior is repeated. When I go and meet my girlfriend, she checks my messages and picks up fight (aversive response) suddenly I delete all messages one day and that day there was no fight (no aversive response) then that behavior is repeated (delete all messages before meeting my girlfriend) Extinction is the type of reinforcement where a behavior is done and a rewarding response is removed the chance is that behavior will not be repeated A child likes to play with children( reward) but when the child fights with other children( undesirable behavior) the child will be removed from playing( removing a reward) , then the child stops fighting with other children( reduction of undesirable behaviour) Ref. kaplon and sadock synopsis, 11 th edition, pg no. 845",models/gemini-2.0-flash,A,A,Correct
a4d22a83-6cff-4844-9f46-84234b540d58,medmcqa,The most important action of Secretin is to,B,"Main Action of Secretin:
Secretin increases the secretion of bicarbonate by the duct cells of the pancreas and biliary tract. It thus causes the secretion of a watery, alkaline pancreatic juice (with high content of bicarbonate). Its action on pancreatic duct cells is mediated via cAMP.
Secretin causes alkaline pancreatic juice to flood into the duodenum, neutralizing the acid from the stomach and thus inhibiting further secretion of the hormone - feedback control.
Other actions:

Inhibits gastric juice secretion.
Inhibits gastric motility.
Causes contraction of pyloric sphincter.
Augments the potency of action of cholecystokinin on pancreatic secretion.",models/gemini-2.0-flash,B,B,Correct
c993142b-7bc3-473a-8327-c9eee155c943,medmcqa,Which is NOT used in treatment of heroin dependence?,A,"Ans. is 'a' i.e., Disulfiram o Heroin is diamorphine and is 3 times more potent than morphine.Treatment of morphine or heroin poisoningo Treatment can be divided into:-A. Treatment of toxicity (overdose)# Overdose is a medical emergency, and is treated with opioid antagonist to reverse the complications (respiratory depression) by antagonizing the action on opioid receptors. Intravenous naloxone is the antagonist of choince for morphine (heroin) poisoning. Oral naltrexone is used for maintenance therapy, once acute poisoning has been treated by iv naloxone. Intravenous nalmefene is another specific antagonist.B. Treatment of dependence# Treatment of dependence include medically supervised withdrawal and detoxification, followed by maintenance therapy.a) Detoxificationo Detoxification process include abrupt withdrawal of opioid followed by management of the emergent withdrawal symptoms, i.e., treatment of withdrawal syndrome. Detoxification can be done by any of the following.1. Substitution of long-acting opioid agonism:- Methadone is the treatment of choice. Because of its agonistic activity on opioid receptors it suppresses withdrawal symptoms. L-alpha-acetyl-methadol/ Levomethyl (LAAM) is the other opioid agonist which was used for this purpose. However it is no longer in use because some patients developed prolonged QT intervals (torsades de points).2. Substitution of partial agonist:- Buprenorphine can be used in place of methadone because of its partial agonistic activity on opioid receptor.3. Substitution by a2 agonists:- Clonidine acts as a sympatholytic agent due to its agonistic action on central presynaptic a2 receptors which reduce nor-adrenergic activity. Therefore, clonidine reduces the adrenergic withdrawal symptoms. Lofexidine another a2 agonist, is an alternative to clonidine.4. Clonidine plus naltrexone:- A more rapid detoxification can occur when clonidine is used along with naltrexone. Naltrexone, when given in opioid dependent patient, causes withdrawal symptoms because of its antagonistic action. These can be treated with clonidine. The addition of short acting Benzodiazepine (lorazepam or oxazepam) and NSAIDs, will help relieve withdrawl symptoms not covered by clonidine. It should be kept in mind that naltrexone should not be used alone for detoxification (to treat withdrawl syptoms) as it precipitates or worsens the withdrawl syndrome.5. Other drugs:- Dextropropoxyphene, diphenoxylateb) M aintenance therapyo Once detoxification phase is over (i.e., withdrawal symptoms have been managed), the patient is maintained on any of the following drugs to prevent relapse by reducing craving and preventing 'kick' or 'euphoria' produced by opioids (morphine or heroin). Drugs used are:-1. Methadone:- Reduces craving and 'kick/euphoria' from morphine or heroin because their opioid receptors are already occupied.2. LAAM and buprenorphine:- Similarly reduce craving.3. Opioid antagonists (naltrexone):- Naltrexone can be used orally to assist in the rehabilitation of exopioid abusers who are fully withdrawn (otherwise it induces an acute withdrawl syndrome). Naltrexone prevents relapse by discouraging substance seeking behavior - If a patient, who is on naltrexone maintenance therapy, takes an opioid, there is no 'kick' or 'euphoria' as opioid receptors are already blocked. Naltrexone can be used with clonidine as in detoxification.",models/gemini-2.0-flash,A,A,Correct
5136c2e6-9b53-420e-be8e-019cf8a2b078,medmcqa,Aldosterone acts at:,A,"Ans. A Collecting ductRef: Ganong, 23rd ed. pg. 648* Aldosterone is secreted from adrenal cortex.* Action of aldosterone is localized to distal tubule are collecting duct.* Mechanism: Stimulates Na+K+ ATPase at basolateral end which generate gradient for movement of sodium ion from apical membrane causing an increase in sodium: reabsorption.",models/gemini-2.0-flash,A,A,Correct
87563acd-e6a4-4f6f-bf54-cca4adc09e96,medmcqa,DNA enzyme for aging:,C,"Ans. (c) TelomeraseRef: Harper's Biochemistry, 30th ed. pg. 374, 732, 26th ed. Pg- 318* The ends of each chromosome contain structures called telomeres.* Telomeres consist of short, repeat TG-rich sequences. Human telomeres have a variable number of repeats of the sequence 5'-TTAGGG-3', which can extend for several kilobases.* Telomerase, is related to viral RNA-dependent DNA polymerases (reverse transcriptases) and is the enzyme responsible for telomere synthesis and thus for maintaining the length of the telomere.* Telomere shortening has been associated with both aging and malignant transformation. Because of this reason, telomerase has become an attractive target for cancer chemotherapy and drug development.",models/gemini-2.0-flash,C,C,Correct
b0559f4d-8376-453e-b88a-39899b6d6fb9,medmcqa,Maternal mortality is maximum in which period –,B,Maternal death mostly occur from the third trimester to the first week after birth. Studies show that mortality risks for mothers are particularly elevated in the first two days after birth.,models/gemini-2.0-flash,B,B,Correct
45764e2c-f28d-4abf-a0fe-f9ddab17a398,medmcqa,Cataract blindness is:,B,Ans. Curable,models/gemini-2.0-flash,B,B,Correct
00cb78d2-a58d-4810-af27-7b1c745ab3b5,medmcqa,Investigation of choice for intramedullary SOL is -,A,"Ans. is 'a' i.e., MRI o Investigation of choice for intramedullary space occupy lesion is MRI.",models/gemini-2.0-flash,A,A,Correct
e21bbea5-ce59-442e-9058-e7f863190b4f,medmcqa,Daclizumab acts through ?,C,"Ans. is 'c' i.e., IL 2 receptor blocker Monoclonal antibodies (daclizumab and basiliximab) that block the interleukin 2 receptor and are used in prevention of graft rejection as immunosuppresant.",models/gemini-2.0-flash,C,C,Correct
6aac13cd-69c5-468b-a025-8578bf8505d5,medmcqa,Actinomycetoma is caused by-,D,"Ans. is 'a' i.e., Actinomyces; 'b' i.e., Nocardia; 'c' i.e., Streptomyces",models/gemini-2.0-flash,D,D,Correct
305b984e-1c04-487f-8a56-a2280886b4d6,medmcqa,Glycosylated hemoglobin in a normal pregnant lady should be less than:,C,The cut off for glycosylated hemoglobin in a pregnant lady is less than 6.5 %.,models/gemini-2.0-flash,C,C,Correct
e28691e5-89f4-44b1-a2b1-b95191860d75,medmcqa,'Bird beak' appearance on barium swallow is feature of?,A,"Ans. A. Achalasia cardia. (Harrison's Medicine, 18th ch. 292; /Fig. 292-5).Achalasia cardia- Megaesophagus/sigmoid esophagus- ""Bird beak"" deformity- Absence of primary peristalsis below level of cricopharyngeus- Hurst phenomenon (temporary transit through cardia when hydrostatic pressure of barium column is above toxic LES pressure)- Vigorous achalasia (numerous tertiary contractions in non-dilated distal esophagus of early achalasia).Hiatus hernia- Epiphrenic bulge- >4 longitudinal coarse thick gastric folds above gastroesophageal junction or in the suprahiatal pouch- A Schatzki or B ring if present, is pathognomonic of a hiatal hernia because it marks the junction between squamous and columnar epithelium and represents the Z line.- Distance between B ring and hiatal margin > 2 cm- Peristalsis causes above hiatus.Schatzki ring (B ring/Lower esophageal mucosal ring, seen as a thin, web-like annular constriction at the esophagogastric junction is associated with a small hiatal hernia.Lye stricture(alkali/caustic strictures) - Long, tight and smooth stricturePeptic stricture- Short and tubular narrowing.Carcinoma oesophagus- Typical annular narrowing with overhang- ing margins and destruction of the mucosa.- 'Rat-tail' esophagus- Shouldering signLeomyoma/GIST- Smooth filling defect with right angles of origin from the esophageal wall (Submucosal smooth lesion)Cytomegalovirus esophagitis- iant ovoid flat ulcers (vasculitis of submucosal vessels)- Gastroesophageal junction with adjacent part of stomach is commonly affected.Herpes esophagitis- Discrete superficial punctate/linear serpentine/stellate/diamond shaped ulcers.Candidial esophagitis- Cobble stone mucosa- 'Shaggy' contour of the esophagus with small diffuse superficial ulcers- Irregular plaque-like filling defectsTertiary esophageal contractions (presbyesophagus, diffuse esophageal spasm, neuromuscular diseases)- ""Corkscrew"" appearance- ""Rosary-bead/Shish kebab"" configuration- ""Yo-Yo"" motion of bariumScleroderma- Esophageal shortening- Sliding hiatus hernia- Hidebound esophagus",models/gemini-2.0-flash,A,A,Correct
0c94e488-3569-4709-acdf-6225fa2e12d3,medmcqa,Which is the first organ to be affected in left ventricular failure?,A,"Ans. (a) LungsRef: Robbin's pathology 9th ed. /529-30* In left ventricular failure, the pooling of blood in lungs will result and will lead to development of pulmonary edema which causes hypoxia and findings of dysnea, orthopnea, pink frothy sputum and death. Hence lungs are immediately affected following LVF.* Subsequently due to low BP the kidneys shall be affected and in severe LVF brain perfusion shall also be affected.",models/gemini-2.0-flash,A,A,Correct
367cad83-4383-4c47-b2dd-d31fa56115ba,medmcqa,Neurofibromatosis 1 criteria include all except:,B,"In Neurofibromatosis 1 (NF1), two or more of the following clinical manifestations are present: Six or more Cafe-au-lait macules Axillary and inguinal freckling Two or more iris Lisch nodules Two or more neurofibromas or 1 plexiform neurofibroma A distinctive osseous lesion such as sphenoidal and tibial dysplasia Optic gliomas A 1st degree relative with NF1 Ref: Nelson textbook of pediatrics 21st edition pgno: 3141",models/gemini-2.0-flash,B,B,Correct
895b0a22-7c6c-4abc-9bc9-29f257185b1f,medmcqa,In rectus sheath which branch of aoa make anastmosis with superior epigastric aery,B,"The external iliac aeries are two major aeries which bifurcate off the common iliac aeries anterior to the sacroiliac joint of the pelvis. They proceed anterior and inferior along the medial border of the psoas major muscles. They exit the pelvic girdle posterior and inferior to the inguinal ligament about one third laterally from the inseion point of the inguinal ligament on the pubic tubercle at which point they are referred to as the femoral aeries. The external iliac aery is usually the aery used to attach the renal aery to the recipient of a kidney transplant. Ref - BDC vol2 6e pg339 , britannica.com",models/gemini-2.0-flash,B,B,Correct
87bf0fc4-3501-43a4-80e7-d8d04f6fa7f5,medmcqa,Pain sensations from the ethmoidal sinus are carried by-,C,"As discussed in preceeding text, nasociliary nerve–branch of opthalmic division of trigeminal nerve carries pain sensation from ethmoid sinus.",models/gemini-2.0-flash,C,C,Correct
923384bb-5451-487d-b731-623f9361d295,medmcqa,Conjunctiva epithelium is:,C,"C i.e. Stratified non keratinized epithelium Conjunctival epithelium is stratified non keratinized squamous epitheliumQ. Conjunctiva has palpebral (marginal, tarsal, orbital), bulbar & fornix pas. Marginal palpebral conjunctiva has transitional zone (not epithelium) covered with stratified epithelium with characteristics of both skin & conjunctiva.",models/gemini-2.0-flash,C,C,Correct
1154e512-eec5-4eae-b944-3de530532c4e,medmcqa,Which of the following is the national level system that provides annual national as well as state level reliable estimates of fertility and mortality?,A,"Sample Registration System (SRS) was initiated in 1964–65 (on a pilot basis; full scale from 1969–70) to provide national as well as state level reliable estimates of fertility and mortality
• SRS is a dual record system:
Field Investigation: continuous enumeration of births and deaths by an enumerator.
Independent retrospective survey: every 6 months by an investigator-supervisor.",models/gemini-2.0-flash,A,A,Correct
d7227e8f-47b5-42b3-9a69-25825f80bc88,medmcqa,How much Potassium is present in the Ringer Lactate solution -,B,"Ans. is 'b' i.e., 4 mEq/L SolutionVolumebNa+K+Ca2+Mg2+Cl-hco3 (as la- ctate)Dext rose(g/L)mOsm/LExtracellular fluid--14245310327 280-310Lactated ringer's--13043--10928--2730.9% NaCl--154------154----3080.45% NaCl--77------77----154D5W--------------50252D5/0.45% NaCl--77------77--50406D5LR--13043--10928505253% NaCl--513------513----1,0267.5% NaCl--1,283------1,283----2,5676% hetastarch500154------154---- .31010% dextran-405000/154deg------0/154deg----3006% dextran-705000/154deg------0/154deg----3005% albumin250, 500130-160<2.5----130-160----33025% albumin20,50,100130-160<2.5----130-160----330Plasma protein fraction250, 500145 145 300",models/gemini-2.0-flash,B,B,Correct
34bc46b6-1fc9-483d-8a6a-63d5ecb7fc01,medmcqa,Puetz-Jegher syndrome is characterised by,C,,models/gemini-2.0-flash,C,C,Correct
d1e57556-a49c-42d1-b73a-9927f5abe03a,medmcqa,"Sex worker with discharging ulcer, gram negative diplococci & growth on modified Thayer main media. Diagnosis ?",A,"Ans. is 'a' i.e., N. gonococci Information in this question are ? Gram negative diplococci. Growth on modified Thayer-main media. o Neisseria gonorrhoeae is a gram negative diplococci and Thayer-main medium is the selective medium for gonococci. Lab diagnosis of gonorrhea Urethral discharge is the most impoant specimen. Transpo media La It processing is to occur within 6 hrs ---> Stua medium or A mies medium. If processing is to occur > 6 hrs --> JEMBEC or Gono - Pak system (media with self - contained CO2 -generating system). Cluture media In acute cases --> Chocolate agar or Muller - Hinton agar. In chronic cases ---> Selective medium - Thayer main medium. Normally the diagnosis of gonorrhoea is made by isolating the organism in culture. It may not be possible to obtain gonococci in culture from some chronic cases or from patients with metastatic lesions such as ahritis. Serological test may be of value in such instances. In serological tests antibodies to gonococcal pili, LPS and outer membrane proteins are detected. o Various tests are ? Complement fixation text Precipitation Passive agglutination lmmunofluorescence Radioimmunoassay Enzyme - linked immunosorbent assay (ELISA) However, no serological test has been found useful for routine diagnostic procedure.Immunobloting",models/gemini-2.0-flash,A,A,Correct
d5ef9df9-d906-4700-b3ff-baf3bd16d22c,medmcqa,All of the following are true regarding diuretics except:-,C,Name Site of action Example Mechanism Loop diuretics Thick ascending limb of Loop of Henle Furosemide Torsemide Na-K-2Cl sympoer inhibition Carbonic anhydrase inhibitors PCT Acetazolamide Dorzolamide Brinzolamide Carbonic anhydrase inhibition Thiazides DCT Hydrochlohiazide Chlohalidone Na-Cl sympoer inhibition Osmotic diuretics Non-specific Mannitol By osmotic effect Epithelial sodium channel blockers Collecting duct Amiloride Triamterene eNa channel blockade Aldosterone antagonists Collecting duct Spironolactone Epleronone Antagonism of aldosterone receptors,models/gemini-2.0-flash,C,C,Correct
4de3ae36-e35c-4bec-ac3c-e83ee383df6e,medmcqa,In case of hypothyroidism which investigation is most informative and most commonly used:,A,TSH* Most informative among thyroid function test parameters because of ultra-sensitivity* Can detect subclinical hypothyroidism & subclinical hypehyroidism* Hypothyroidism - TSH |* Hypehyroidism - TSH |,models/gemini-2.0-flash,A,A,Correct
4c045f3a-6601-4413-92a0-0941d9061a92,medmcqa,. When the confidence level of a testis increased which of the following will happen -,B,,models/gemini-2.0-flash,C,C,Incorrect
43ba8407-9d93-473a-b77b-fda6bd6b667e,medmcqa,Mobile medical care constitutes all except,C,Ref:Park's Textbook of Preventive and Social Medicine 25th Ed,models/gemini-2.0-flash,C,C,Correct
601a0006-402b-4565-a117-01981f7db6b4,medmcqa,Monozygotic twins do not have same-,A,"Ans. is ""a' i.e., Fingerprints o Monozygotic twins are a result of the division of the single fertilized egg into two embryos. Thus, they have exactly identical DNA, except for the generally undetectable micromutations that begin as soon as the cell starts dividing.o Fingerprints of the identical twins start their development from the same DNA so they show considerable genetic similarity.o However identical twins are situated in different parts of the womb during development, so each fetus encounters slightly different intrauterine forces than their siblings.o As a result fingerprints of the identical twins have different microdetails which can be used for identification purposes.",models/gemini-2.0-flash,A,A,Correct
4bef8d55-728c-458d-b1b1-030022cf8e02,medmcqa,"What is approx fetal weight, if height of uterus is above pubic symphysis is 35 cm and station of head -2?",C,"Ans. is c, i.e. 3.5 kgRef. Dutta Obs. 9/e, p 68Estimation of fetal weight can be done using Johnson formula:If station of head below ischial spine x 155If fetal head is at or above ischial spine- x 155 Here fetal head is at - 2, i.e. above ischial spine, so it will be (35 - 12) x 155 = 3.5 kg.Also Know:USG measurement of fetal weight =Shephard formula =Log10 EFW(gm)=1.2508+-(0.002646xACxBPD)Hadlock formula =Log10 EFW(gm)=1.3596-0.00386(ACxFL)+0.0064(HC)+0.00061(BPDxAC)+0.0425(AC)+0.0174(FL)",models/gemini-2.0-flash,C,C,Correct
66cb240a-b8a0-402c-9a9f-1e0a0ffe3551,medmcqa,"A 44-year-old businessman presents to a physician because of a markedly inflammed and painful right great toe. He states that he just returned from a convention, and had noticed increasing pain in his right foot during his flight back home. Physical examination is remarkable for swelling and erythema of the right great toe as well as small nodules on the patient's external ear. Aspiration of the metatarsal-phalangeal joint of the affected toe demonstrates needle-shaped negatively birefringent crystals. Which of the following agents would provide the most immediate relief for this patient?",C,"The patient has gout, which is due to precipitation of monosodium urate crystals in joint spaces (notably the great toe) and soft tissues (causing tophi, which are often found on the external ears). Colchicine reduces the inflammation caused by the urate crystals by inhibiting leukocyte migration and phagocytosis secondary to an effect on microtubule assembly. Allopurinol and its metabolite, oxypurinol, inhibit xanthine oxidase, the enzyme that forms uric acid from hypoxanthine. Therapy with this agent should be begun 1-2 weeks after the acute attack has subsided. Aspirin competes with uric acid for tubular secretion, thereby decreasing urinary urate excretion and raising serum uric acid levels. At high doses (more than 2 gm daily) aspirin is a uricosuric. Probenecid and sulfinpyrazone are uricosuric agents, increasing the urinary excretion of uric acid, hence decreasing serum levels of the substance. Therapy with these agents should be begun 1-2 weeks after the acute attack has subsided.",models/gemini-2.0-flash,C,C,Correct
697637ad-84e7-46f1-a4d9-7aa5694b36b6,medmcqa,Which of the following is not a feature Eustachian tube in children,C,"The Eustachian tube in children is shoer (16-18mm), wider and more horizontal. It is also less taut due to lack of elastin. The above differences make the infant more prone for retrograde reflux of nasopharyngeal secretions and milk while feeding in supine position. Differences between Infant & adult ET INFANT ET ADULT ET Length 16-18 mm 36 mm Angle with horizontal 100 (more horizontal) Normalizes at 7yrs 450 Isthmus Straight Angulated Width Wider bony pa Narrow Cailage Flaccid Rigid Elastin at roof Less dense Very dense Ostmann's pad of fat Less in volume More in volume",models/gemini-2.0-flash,D,D,Incorrect
